product_type,sales_office,sales_volume,gross_sales,raw_materials,packaging,other_direct_cost,variable_manufacturing,fixed_manufacturing,warehouse,trans_primary,trans_delivery,month
CAN CF,South,86713,620364,2233480002,153200,5417,14429,36212,7465,9044,10965,1
CAN CF,South,192462,1350768,4957263365,340031,12022,32026,80373,16568,20073,24337,1
CAN CF,South,77879,554108,2005942650,137593,4865,12959,32523,6704,8122,9848,1
CAN CF,Central,132807,939619,3420718705,234635,8296,22099,55461,11433,13851,16793,1
CAN CF,North,27914,205169,718979125,49317,1744,4645,11657,2403,2911,3530,1
CAN CF,North,43586,295648,1122639042,77005,2723,7253,18202,3752,4546,5511,1
CAN CF,South,152,851,4230958,249,9,26,63,13,16,19,1
CAN CF,South,376,2178,10476657,618,23,65,157,32,39,48,1
CAN CF,South,11,56,313404,18,1,2,5,1,1,1,1
CAN CF,North,42,252,1164073,69,3,7,17,4,4,5,1
PET CF,North,3761,13981,96822827,4410,235,665,1571,324,0,889,1
PET CF,South,56481,254205,1718480422,58661,3528,10250,23587,4862,1668,11820,1
PET CF,South,89132,401284,2711915410,92572,5568,16176,37222,7673,2633,18653,1
PET CF,South,58529,263366,1780779464,60788,3656,10622,24442,5038,1729,12249,1
PET CF,Central,12068,54631,367168251,12533,754,2190,5040,1039,356,2525,1
PET CF,North,5768,25965,175503344,5991,360,1047,2409,497,170,1207,1
PET CF,North,48,236,1880796,54,3,16,20,4,0,21,1
PET CF,South,19640,120660,1149159191,22628,1227,5916,8202,1691,600,4228,1
PET CF,South,42080,258614,2462134694,48481,2629,12676,17573,3622,1286,9059,1
PET CF,South,30231,185734,1768877610,34830,1888,9107,12625,2603,924,6509,1
PET CF,Central,13750,84481,804552493,15842,859,4142,5742,1184,420,2960,1
PET CF,North,7004,43030,409822893,8070,438,2110,2925,603,214,1508,1
PET CF,North,22183,136284,1297929228,25557,1386,6682,9264,1910,678,4776,1
PMX,South,181,6587,69310299,321,11,194,76,16,32,43,1
PMX,South,2,89,616092,3,0,2,1,0,0,0,1
PMX,Central,-4,-222,-1540228,-7,0,-4,-2,0,-1,-1,1
PMX,North,5,266,1848275,9,0,5,2,0,1,1,1
RGB CF,South,12440,27756,290411101,1653,777,2104,9177,1071,234,4559,1
